Title,Description
AZ-POL-20250904-069101ac-4578-31da-0cd4-ff083edd3eb4 CMA_0385 - Obtain consent prior to collection or processing of personal data,"# Names\n\n* Obtain consent prior to collection or processing of personal data (069101ac-4578-31da-0cd4-ff083edd3eb4)\n\n# Description\n\nCMA_0385 - Obtain consent prior to collection or processing of personal data\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-06a78e20-9358-41c9-923c-fb736d382a4d This policy audits VMs that do not use managed disks,"# Names\n\n* Audit VMs that do not use managed disks (06a78e20-9358-41c9-923c-fb736d382a4d)\n\n# Description\n\nThis policy audits VMs that do not use managed disks\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""anyOf"": [\n      {\n        ""allOf"": [\n          {\n            ""field"": ""type"",\n            ""equals"": ""Microsoft.Compute/virtualMachines""\n          },\n          {\n            ""field"": ""Microsoft.Compute/virtualMachines/osDisk.uri"",\n            ""exists"": ""True""\n          }\n        ]\n      },\n      {\n        ""allOf"": [\n          {\n            ""field"": ""type"",\n            ""equals"": ""Microsoft.Compute/VirtualMachineScaleSets""\n          },\n          {\n            ""anyOf"": [\n              {\n                ""field"": ""Microsoft.Compute/VirtualMachineScaleSets/osDisk.vhdContainers"",\n                ""exists"": ""True""\n              },\n              {\n                ""field"": ""Microsoft.Compute/VirtualMachineScaleSets/osdisk.imageUrl"",\n                ""exists"": ""True""\n              }\n            ]\n          }\n        ]\n      }\n    ]\n  },\n  ""then"": {\n    ""effect"": ""audit""\n  }\n}\n```"
AZ-POL-20250904-06f84330-4c27-21f7-72cd-7488afd50244 CMA_0324 - Implement privacy notice delivery methods,"# Names\n\n* Implement privacy notice delivery methods (06f84330-4c27-21f7-72cd-7488afd50244)\n\n# Description\n\nCMA_0324 - Implement privacy notice delivery methods\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-0803eaa7-671c-08a7-52fd-ac419f775e75 CMA_0187 - Document acquisition contract acceptance criteria,"# Names\n\n* Document acquisition contract acceptance criteria (0803eaa7-671c-08a7-52fd-ac419f775e75)\n\n# Description\n\nCMA_0187 - Document acquisition contract acceptance criteria\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-0820b7b9-23aa-4725-a1ce-ae4558f718e5 Cross-Origin Resource Sharing (CORS) should not allow all domains to access your Function app. Allow only required domains to interact with your Function app.,"# Names\n\n* Function apps should not have CORS configured to allow every resource to access your apps (0820b7b9-23aa-4725-a1ce-ae4558f718e5)\n\n# Description\n\nCross-Origin Resource Sharing (CORS) should not allow all domains to access your Function app. Allow only required domains to interact with your Function app.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""allOf"": [\n      {\n        ""field"": ""type"",\n        ""equals"": ""Microsoft.Web/sites""\n      },\n      {\n        ""field"": ""kind"",\n        ""contains"": ""functionapp""\n      },\n      {\n        ""field"": ""kind"",\n        ""notContains"": ""workflowapp""\n      },\n      {\n        ""field"": ""kind"",\n        ""notContains"": ""azurecontainerapps""\n      }\n    ]\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""type"": ""Microsoft.Web/sites/config"",\n      ""existenceCondition"": {\n        ""field"": ""Microsoft.Web/sites/config/web.cors.allowedOrigins[*]"",\n        ""notEquals"": ""*""\n      }\n    }\n  }\n}\n```"
AZ-POL-20250904-09024ccc-0c5f-475e-9457-b7c0d9ed487b It is recommended to designate more than one subscription owner in order to have administrator access redundancy.,"# Names\n\n* There should be more than one owner assigned to your subscription (09024ccc-0c5f-475e-9457-b7c0d9ed487b)\n\n# Description\n\nIt is recommended to designate more than one subscription owner in order to have administrator access redundancy.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""type"": ""Microsoft.Security/assessments"",\n      ""name"": ""2c79b4af-f830-b61e-92b9-63dfa30f16e4"",\n      ""existenceCondition"": {\n        ""field"": ""Microsoft.Security/assessments/status.code"",\n        ""in"": [\n          ""NotApplicable"",\n          ""Healthy""\n        ]\n      }\n    }\n  }\n}\n```"
AZ-POL-20250904-098a7b84-1031-66d8-4e78-bd15b5fd2efb CMA_0414 - Provide privacy notice,"# Names\n\n* Provide privacy notice (098a7b84-1031-66d8-4e78-bd15b5fd2efb)\n\n# Description\n\nCMA_0414 - Provide privacy notice\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
"AZ-POL-20250904-0a15ec92-a229-4763-bb14-0ea34a568f8d Azure Policy Add-on for Kubernetes service (AKS) extends Gatekeeper v3, an admission controller webhook for Open Policy Agent (OPA), to apply at-scale enforcements and safeguards on your clusters in a centralized, consistent manner.","# Names\n\n* Azure Policy Add-on for Kubernetes service (AKS) should be installed and enabled on your clusters (0a15ec92-a229-4763-bb14-0ea34a568f8d)\n\n# Description\n\nAzure Policy Add-on for Kubernetes service (AKS) extends Gatekeeper v3, an admission controller webhook for Open Policy Agent (OPA), to apply at-scale enforcements and safeguards on your clusters in a centralized, consistent manner.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""allOf"": [\n      {\n        ""field"": ""type"",\n        ""equals"": ""Microsoft.ContainerService/managedClusters""\n      },\n      {\n        ""anyOf"": [\n          {\n            ""field"": ""Microsoft.ContainerService/managedClusters/addonProfiles.azurePolicy.enabled"",\n            ""exists"": ""false""\n          },\n          {\n            ""field"": ""Microsoft.ContainerService/managedClusters/addonProfiles.azurePolicy.enabled"",\n            ""equals"": ""false""\n          }\n        ]\n      }\n    ]\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]""\n  }\n}\n```"
AZ-POL-20250904-0a24f5dc-8c40-94a7-7aee-bb7cd4781d37 CMA_C1824 - Issue guidelines for ensuring data quality and integrity,"# Names\n\n* Issue guidelines for ensuring data quality and integrity (0a24f5dc-8c40-94a7-7aee-bb7cd4781d37)\n\n# Description\n\nCMA_C1824 - Issue guidelines for ensuring data quality and integrity\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
"AZ-POL-20250904-0a370ff3-6cab-4e85-8995-295fd854c5b8 Implementing Transparent Data Encryption (TDE) with your own key provides increased transparency and control over the TDE Protector, increased security with an HSM-backed external service, and promotion of separation of duties. This recommendation applies to organizations with a related compliance requirement.","# Names\n\n* SQL servers should use customer-managed keys to encrypt data at rest (0a370ff3-6cab-4e85-8995-295fd854c5b8)\n\n# Description\n\nImplementing Transparent Data Encryption (TDE) with your own key provides increased transparency and control over the TDE Protector, increased security with an HSM-backed external service, and promotion of separation of duties. This recommendation applies to organizations with a related compliance requirement.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""anyOf"": [\n      {\n        ""allOf"": [\n          {\n            ""field"": ""type"",\n            ""equals"": ""Microsoft.Sql/servers""\n          },\n          {\n            ""value"": ""[resourcegroup().managedBy]"",\n            ""notContains"": ""/providers/Microsoft.Synapse/""\n          },\n          {\n            ""anyOf"": [\n              {\n                ""field"": ""Microsoft.Sql/servers/keyid"",\n                ""exists"": false\n              },\n              {\n                ""field"": ""Microsoft.Sql/servers/keyid"",\n                ""equals"": """"\n              }\n            ]\n          }\n        ]\n      },\n      {\n        ""allOf"": [\n          {\n            ""field"": ""type"",\n            ""equals"": ""Microsoft.Sql/servers/encryptionProtector""\n          },\n          {\n            ""value"": ""[resourcegroup().managedBy]"",\n            ""notContains"": ""/providers/Microsoft.Synapse/""\n          },\n          {\n            ""field"": ""Microsoft.Sql/servers/encryptionProtector/serverKeyType"",\n            ""notequals"": ""AzureKeyVault""\n          }\n        ]\n      }\n    ]\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]""\n  }\n}\n```"
AZ-POL-20250904-0a9fbe0d-c5c4-4da8-87d8-f4fd77338835 Azure Defender for open-source relational databases detects anomalous activities indicating unusual and potentially harmful attempts to access or exploit databases. Learn more about the capabilities of Azure Defender for open-source relational databases at https://aka.ms/AzDforOpenSourceDBsDocu. Important: Enabling this plan will result in charges for protecting your open-source relational databases. Learn about the pricing on Security Center's pricing page: https://aka.ms/pricing-security-center,"# Names\n\n* Azure Defender for open-source relational databases should be enabled (0a9fbe0d-c5c4-4da8-87d8-f4fd77338835)\n\n# Description\n\nAzure Defender for open-source relational databases detects anomalous activities indicating unusual and potentially harmful attempts to access or exploit databases. Learn more about the capabilities of Azure Defender for open-source relational databases at https://aka.ms/AzDforOpenSourceDBsDocu. Important: Enabling this plan will result in charges for protecting your open-source relational databases. Learn about the pricing on Security Center's pricing page: https://aka.ms/pricing-security-center\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""type"": ""Microsoft.Security/pricings"",\n      ""name"": ""OpenSourceRelationalDatabases"",\n      ""existenceScope"": ""subscription"",\n      ""existenceCondition"": {\n        ""field"": ""Microsoft.Security/pricings/pricingTier"",\n        ""equals"": ""Standard""\n      }\n    }\n  }\n}\n```"
"AZ-POL-20250904-0b15565f-aa9e-48ba-8619-45960f2c314d To ensure your subscription owners are notified when there is a potential security breach in their subscription, set email notifications to subscription owners for high severity alerts in Security Center.","# Names\n\n* Email notification to subscription owner for high severity alerts should be enabled (0b15565f-aa9e-48ba-8619-45960f2c314d)\n\n# Description\n\nTo ensure your subscription owners are notified when there is a potential security breach in their subscription, set email notifications to subscription owners for high severity alerts in Security Center.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""type"": ""Microsoft.Security/securityContacts"",\n      ""existenceScope"": ""subscription"",\n      ""existenceCondition"": {\n        ""not"": {\n          ""allOf"": [\n            {\n              ""field"": ""Microsoft.Security/securityContacts/alertsToAdmins"",\n              ""equals"": ""Off""\n            },\n            {\n              ""anyOf"": [\n                {\n                  ""field"": ""Microsoft.Security/securityContacts/alertNotifications.minimalSeverity"",\n                  ""equals"": ""High""\n                },\n                {\n                  ""count"": {\n                    ""field"": ""Microsoft.Security/securityContacts/notificationsSources[*]"",\n                    ""where"": {\n                      ""allOf"": [\n                        {\n                          ""field"": ""Microsoft.Security/securityContacts/notificationsSources[*].sourceType"",\n                          ""equals"": ""Alert""\n                        },\n                        {\n                          ""field"": ""Microsoft.Security/securityContacts/notificationsSources[*].Alert.minimalSeverity"",\n                          ""equals"": ""High""\n                        }\n                      ]\n                    }\n                  },\n                  ""equals"": 1\n                }\n              ]\n            }\n          ]\n        }\n      }\n    }\n  }\n}\n```"
AZ-POL-20250904-0b60c0b2-2dc2-4e1c-b5c9-abbed971de53 Malicious deletion of a key vault can lead to permanent data loss. You can prevent permanent data loss by enabling purge protection and soft delete. Purge protection protects you from insider attacks by enforcing a mandatory retention period for soft deleted key vaults. No one inside your organization or Microsoft will be able to purge your key vaults during the soft delete retention period. Keep in mind that key vaults created after September 1st 2019 have soft-delete enabled by default.,"# Names\n\n* Key vaults should have deletion protection enabled (0b60c0b2-2dc2-4e1c-b5c9-abbed971de53)\n\n# Description\n\nMalicious deletion of a key vault can lead to permanent data loss. You can prevent permanent data loss by enabling purge protection and soft delete. Purge protection protects you from insider attacks by enforcing a mandatory retention period for soft deleted key vaults. No one inside your organization or Microsoft will be able to purge your key vaults during the soft delete retention period. Keep in mind that key vaults created after September 1st 2019 have soft-delete enabled by default.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""allOf"": [\n      {\n        ""field"": ""type"",\n        ""equals"": ""Microsoft.KeyVault/vaults""\n      },\n      {\n        ""field"": ""Microsoft.KeyVault/vaults/createMode"",\n        ""notEquals"": ""recover""\n      },\n      {\n        ""anyOf"": [\n          {\n            ""allOf"": [\n              {\n                ""value"": ""[requestContext().apiVersion]"",\n                ""less"": ""2019-09-01""\n              },\n              {\n                ""anyOf"": [\n                  {\n                    ""field"": ""Microsoft.KeyVault/vaults/enableSoftDelete"",\n                    ""equals"": ""false""\n                  },\n                  {\n                    ""field"": ""Microsoft.KeyVault/vaults/enableSoftDelete"",\n                    ""exists"": ""false""\n                  }\n                ]\n              }\n            ]\n          },\n          {\n            ""allOf"": [\n              {\n                ""value"": ""[requestContext().apiVersion]"",\n                ""greaterOrEquals"": ""2019-09-01""\n              },\n              {\n                ""field"": ""Microsoft.KeyVault/vaults/enableSoftDelete"",\n                ""equals"": ""false""\n              }\n            ]\n          },\n          {\n            ""field"": ""Microsoft.KeyVault/vaults/enablePurgeProtection"",\n            ""exists"": ""false""\n          },\n          {\n            ""field"": ""Microsoft.KeyVault/vaults/enablePurgeProtection"",\n            ""equals"": ""false""\n          }\n        ]\n      }\n    ]\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]""\n  }\n}\n```"
AZ-POL-20250904-0ba211ef-0e85-2a45-17fc-401d1b3f8f85 CMA_0197 - Document requirements for the use of shared data in contracts,"# Names\n\n* Document requirements for the use of shared data in contracts (0ba211ef-0e85-2a45-17fc-401d1b3f8f85)\n\n# Description\n\nCMA_0197 - Document requirements for the use of shared data in contracts\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-0bbfd658-93ab-6f5e-1e19-3c1c1da62d01 CMA_C1818 - Keep accurate accounting of disclosures of information,"# Names\n\n* Keep accurate accounting of disclosures of information (0bbfd658-93ab-6f5e-1e19-3c1c1da62d01)\n\n# Description\n\nCMA_C1818 - Keep accurate accounting of disclosures of information\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-0cfea604-3201-4e14-88fc-fae4c427a6c5 Deprecated accounts with owner permissions should be removed from your subscription.  Deprecated accounts are accounts that have been blocked from signing in.,"# Names\n\n* Blocked accounts with owner permissions on Azure resources should be removed (0cfea604-3201-4e14-88fc-fae4c427a6c5)\n\n# Description\n\nDeprecated accounts with owner permissions should be removed from your subscription.  Deprecated accounts are accounts that have been blocked from signing in.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""type"": ""Microsoft.Security/assessments"",\n      ""name"": ""050ac097-3dda-4d24-ab6d-82568e7a50cf"",\n      ""existenceCondition"": {\n        ""field"": ""Microsoft.Security/assessments/status.code"",\n        ""in"": [\n          ""NotApplicable"",\n          ""Healthy""\n        ]\n      }\n    }\n  }\n}\n```"
AZ-POL-20250904-0d04cb93-a0f1-2f4b-4b1b-a72a1b510d08 CMA_0014 - Assess risk in third party relationships,"# Names\n\n* Assess risk in third party relationships (0d04cb93-a0f1-2f4b-4b1b-a72a1b510d08)\n\n# Description\n\nCMA_0014 - Assess risk in third party relationships\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""field"": ""type"",\n    ""equals"": ""Microsoft.Resources/subscriptions""\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""defaultState"": ""Unknown""\n    }\n  }\n}\n```"
AZ-POL-20250904-0e60b895-3786-45da-8377-9c6b4b6ac5f9 Remote debugging requires inbound ports to be opened on Function apps. Remote debugging should be turned off.,"# Names\n\n* Function apps should have remote debugging turned off (0e60b895-3786-45da-8377-9c6b4b6ac5f9)\n\n# Description\n\nRemote debugging requires inbound ports to be opened on Function apps. Remote debugging should be turned off.\n\n# Policy Rule\n\n```json\n{\n  ""if"": {\n    ""allOf"": [\n      {\n        ""field"": ""type"",\n        ""equals"": ""Microsoft.Web/sites""\n      },\n      {\n        ""field"": ""kind"",\n        ""contains"": ""functionapp""\n      },\n      {\n        ""field"": ""kind"",\n        ""notContains"": ""workflowapp""\n      },\n      {\n        ""field"": ""kind"",\n        ""notContains"": ""azurecontainerapps""\n      }\n    ]\n  },\n  ""then"": {\n    ""effect"": ""[parameters('effect')]"",\n    ""details"": {\n      ""type"": ""Microsoft.Web/sites/config"",\n      ""existenceCondition"": {\n        ""field"": ""Microsoft.Web/sites/config/web.remoteDebuggingEnabled"",\n        ""equals"": ""false""\n      }\n    }\n  }\n}\n```"
